t_1,N_1,t_2,N_2,t_3,N_3,t_4,N_4,t_5,N_5,t_6,N_6,t_7,N_7,t_8,N_8,t_9,N_9,t_10,N_10
0.0,100.0,0.0,100.0,0.0,100,0.0,100.0,0.0,100,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
8e-05,99.0,2e-05,98.0,0.00014000000000000001,99,4e-05,99.0,8e-05,99,3.0000000000000004e-05,99.0,3.0000000000000004e-05,99.0,6e-05,99.0,5e-05,99.0,4e-05,99.0
9e-05,97.0,3.0000000000000004e-05,97.0,0.00015000000000000001,97,8e-05,98.0,9e-05,98,4e-05,97.0,5e-05,98.0,0.0001,98.0,9e-05,98.0,5e-05,98.0
0.00012,95.0,4e-05,96.0,0.00016,95,9e-05,97.0,0.0001,96,7.000000000000001e-05,96.0,7.000000000000001e-05,96.0,0.00013000000000000002,97.0,0.0001,97.0,6e-05,96.0
0.00013000000000000002,94.0,5e-05,95.0,0.00017,94,0.0001,96.0,0.00011,94,8e-05,95.0,0.00011,95.0,0.00016,96.0,0.00012,94.0,8e-05,95.0
0.00014000000000000001,93.0,8e-05,94.0,0.00019,93,0.00012,95.0,0.00014000000000000001,93,9e-05,93.0,0.00019,93.0,0.00017,95.0,0.00013000000000000002,93.0,0.00013000000000000002,94.0
0.00016,92.0,0.00011,93.0,0.0002,92,0.00013000000000000002,94.0,0.00015000000000000001,92,0.0001,92.0,0.00022,92.0,0.00018,94.0,0.00015000000000000001,92.0,0.00014000000000000001,92.0
0.00019,91.0,0.00014000000000000001,92.0,0.00021,91,0.00014000000000000001,93.0,0.00017,91,0.00011,90.0,0.00027000000000000006,91.0,0.00019,91.0,0.00018,91.0,0.00017,91.0
0.0002,87.0,0.00016,91.0,0.00022,90,0.00016,92.0,0.00018,90,0.00012,88.0,0.0002800000000000001,89.0,0.0002,90.0,0.00019,90.0,0.00018,90.0
0.00021,86.0,0.0002,89.0,0.00023,89,0.00017,91.0,0.0002,89,0.00015000000000000001,87.0,0.00031000000000000016,87.0,0.00021,89.0,0.0002,89.0,0.0002,89.0
