t_1,N_1,t_2,N_2,t_3,N_3,t_4,N_4,t_5,N_5,t_6,N_6,t_7,N_7,t_8,N_8,t_9,N_9,t_10,N_10
0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100,0.0,100.0
3.0000000000000004e-05,99.0,3.0000000000000004e-05,99.0,3.0000000000000004e-05,99.0,6e-05,99.0,4e-05,98.0,5e-05,99.0,5e-05,99.0,4e-05,99.0,7.000000000000001e-05,97,5e-05,98.0
5e-05,98.0,4e-05,96.0,4e-05,98.0,7.000000000000001e-05,98.0,6e-05,97.0,6e-05,98.0,7.000000000000001e-05,98.0,6e-05,98.0,8e-05,96,8e-05,97.0
6e-05,96.0,0.0001,95.0,8e-05,97.0,8e-05,97.0,7.000000000000001e-05,96.0,0.0001,97.0,0.0001,97.0,8e-05,97.0,9e-05,95,0.00011,95.0
9e-05,94.0,0.00011,94.0,0.00012,96.0,0.0001,96.0,0.0001,95.0,0.00013000000000000002,95.0,0.00011,96.0,9e-05,96.0,0.0001,93,0.00014000000000000001,94.0
0.00011,92.0,0.00012,93.0,0.00014000000000000001,95.0,0.00011,95.0,0.00012,94.0,0.00015000000000000001,91.0,0.00013000000000000002,95.0,0.0001,94.0,0.00011,92,0.00015000000000000001,91.0
0.00013000000000000002,91.0,0.00014000000000000001,92.0,0.00015000000000000001,94.0,0.00012,91.0,0.00017,92.0,0.0002,90.0,0.00015000000000000001,92.0,0.00012,93.0,0.00013000000000000002,91,0.00017,88.0
0.00014000000000000001,90.0,0.00016,91.0,0.00016,93.0,0.00013000000000000002,90.0,0.00018,91.0,0.00021,89.0,0.00016,89.0,0.00013000000000000002,92.0,0.00015000000000000001,90,0.00027000000000000006,87.0
0.00017,88.0,0.00018,90.0,0.00017,92.0,0.00014000000000000001,89.0,0.0002,90.0,0.00023,87.0,0.00017,88.0,0.00014000000000000001,89.0,0.00017,89,0.0002900000000000001,85.0
0.00021,87.0,0.0002,89.0,0.00018,91.0,0.0002,87.0,0.00021,88.0,0.00025,86.0,0.00018,87.0,0.00015000000000000001,88.0,0.00018,88,0.00031000000000000016,84.0
0.00023,85.0,0.00022,87.0,0.00019,90.0,0.00021,86.0,0.00025,87.0,0.00031000000000000016,84.0,0.00019,86.0,0.0002,87.0,0.00019,87,0.0003200000000000002,83.0
0.00024,84.0,0.00027000000000000006,86.0,0.00022,88.0,0.00022,83.0,0.0002900000000000001,85.0,0.0003200000000000002,82.0,0.00021,84.0,0.00023,86.0,0.0002,85,0.00035000000000000027,82.0
0.00025,82.0,0.0002800000000000001,85.0,0.00024,87.0,0.00025,82.0,0.0003300000000000002,84.0,0.0003300000000000002,81.0,0.00022,83.0,0.00024,84.0,0.00023,84,0.0003600000000000003,81.0
0.0002900000000000001,81.0,0.0003700000000000003,84.0,0.00027000000000000006,86.0,0.00027000000000000006,81.0,0.00035000000000000027,83.0,0.0003600000000000003,80.0,0.00023,82.0,0.00025,83.0,0.00027000000000000006,83,0.00038000000000000035,80.0
0.00034000000000000024,79.0,0.00038000000000000035,83.0,0.00030000000000000014,84.0,0.00031000000000000016,80.0,0.0003700000000000003,82.0,0.0004100000000000004,79.0,0.00024,81.0,0.00034000000000000024,81.0,0.0002900000000000001,82,0.0004100000000000004,78.0
0.00035000000000000027,78.0,0.00039000000000000037,82.0,0.00035000000000000027,82.0,0.0003200000000000002,79.0,0.00038000000000000035,81.0,0.00042000000000000045,78.0,0.0003200000000000002,80.0,0.00035000000000000027,80.0,0.00031000000000000016,81,0.0004300000000000005,76.0
0.0004100000000000004,77.0,0.0004800000000000006,80.0,0.00038000000000000035,81.0,0.00034000000000000024,78.0,0.0004300000000000005,78.0,0.0004300000000000005,77.0,0.0003600000000000003,79.0,0.00038000000000000035,79.0,0.0003200000000000002,80,0.0004700000000000006,74.0
0.00042000000000000045,76.0,0.0004900000000000006,79.0,0.0004000000000000004,80.0,0.00035000000000000027,77.0,0.0004400000000000005,76.0,0.0005000000000000007,76.0,0.00039000000000000037,76.0,0.00042000000000000045,78.0,0.0003600000000000003,79,0.0004800000000000006,73.0
0.0004300000000000005,75.0,0.0005200000000000007,78.0,0.0004100000000000004,79.0,0.0003600000000000003,76.0,0.0004900000000000006,75.0,0.0005100000000000007,73.0,0.0004100000000000004,75.0,0.00045000000000000053,77.0,0.0004400000000000005,78,0.0005100000000000007,72.0
0.00046000000000000056,74.0,0.0005400000000000008,77.0,0.0004300000000000005,78.0,0.0003700000000000003,75.0,0.0005000000000000007,73.0,0.0005400000000000008,72.0,0.00046000000000000056,74.0,0.0005000000000000007,75.0,0.0004900000000000006,77,0.0005200000000000007,71.0
0.0004700000000000006,73.0,0.0005500000000000008,76.0,0.0004400000000000005,76.0,0.00038000000000000035,74.0,0.0005200000000000007,72.0,0.0005800000000000009,70.0,0.0005300000000000007,73.0,0.0006500000000000011,74.0,0.0005100000000000007,76,0.0005500000000000008,70.0
0.0005400000000000008,72.0,0.0005600000000000008,75.0,0.0004700000000000006,75.0,0.00039000000000000037,73.0,0.0005400000000000008,71.0,0.0007400000000000013,69.0,0.0005800000000000009,72.0,0.0006900000000000012,73.0,0.0005300000000000007,75,0.0005900000000000009,69.0
0.000620000000000001,71.0,0.0005700000000000008,74.0,0.0005000000000000007,73.0,0.0004400000000000005,72.0,0.000640000000000001,70.0,0.0007500000000000013,68.0,0.0005900000000000009,70.0,0.0007100000000000012,72.0,0.0005500000000000008,74,0.000620000000000001,68.0
0.000630000000000001,70.0,0.000610000000000001,71.0,0.0005200000000000007,72.0,0.0004700000000000006,69.0,0.0006800000000000011,69.0,0.0007600000000000013,67.0,0.0006800000000000011,69.0,0.0007200000000000012,71.0,0.000640000000000001,73,0.000630000000000001,66.0
0.0007700000000000014,68.0,0.000630000000000001,70.0,0.0005500000000000008,71.0,0.0005100000000000007,68.0,0.0006900000000000012,68.0,0.0007700000000000014,66.0,0.0006900000000000012,68.0,0.0008300000000000015,70.0,0.0006600000000000011,72,0.0006600000000000011,65.0
